name,city,state
Arizona State University,Tempe,Arizona
Boston University,Boston,Massachusetts
Brandeis University,Waltham,Massachusetts
Brown University,Providence,Rhode Island
California Institute of Technology,Pasadena,California
Carnegie Mellon University,Pittsburgh,Pennsylvania
Case Western Reserve University,Cleveland,Ohio
Colorado State University,Fort Collins,Colorado
Columbia University,New York,New York
Cornell University,Ithaca,New York
CUNY Graduate Center,New York,New York
Dartmouth College,Hanover,New Hampshire
Duke University,Durham,North Carolina
Emory University,Atlanta,Georgia
Florida State University,Tallahassee,Florida
George Washington University,Washington,DC
Georgetown University,Washington,DC
Georgia Institute of Technology,Atlanta,Georgia
Georgia State University,Atlanta,Georgia
Harvard University,Cambridge,Massachusetts
Indiana University Bloomington,Bloomington,Indiana
Iowa State University,Ames,Iowa
Johns Hopkins University,Baltimore,Maryland
Louisiana State University,Baton Rouge,Louisiana
Massachusetts Institute of Technology,Cambridge,Massachusetts
Michigan State University,East Lansing,Michigan
Mississippi State University,Starkville,Mississippi
Montana State University,Bozeman,Montana
New York University,New York,New York
North Carolina State University,Raleigh,North Carolina
North Dakota State University,Fargo,North Dakota
Northwestern University,Evanston,Illinois
Ohio State University,Columbus,Ohio
Oregon State University,Corvallis,Oregon
Pennsylvania State University,University Park,Pennsylvania
Princeton University,Princeton,New Jersey
Purdue University,West Lafayette,Indiana
Rensselaer Polytechnic Institute,Troy,New York
Rice University,Houston,Texas
Rockefeller University,New York,New York
Rutgers–New Brunswick,New Brunswick,New Jersey
Stanford University,Stanford,California
Stony Brook University,Stony Brook,New York
"University at Albany, SUNY",Albany,New York
Texas A&M University,College Station,Texas
Tufts University,Medford,Massachusetts
Tulane University of Louisiana,New Orleans,Louisiana
University at Buffalo,Buffalo,New York
University of Alabama at Birmingham,Birmingham,Alabama
University of Alabama in Huntsville,Huntsville,Alabama
University of Arizona,Tucson,Arizona
University of Arkansas,Fayetteville,Arkansas
"University of California, Berkeley",Berkeley,California
"University of California, Davis",Davis,California
"University of California, Irvine",Irvine,California
"University of California, Los Angeles",Los Angeles,California
"University of California, Riverside",Riverside,California
"University of California, San Diego",La Jolla,California
"University of California, Santa Barbara",Santa Barbara,California
"University of California, Santa Cruz",Santa Cruz,California
University of Central Florida,Orlando,Florida
University of Chicago,Chicago,Illinois
University of Cincinnati,Cincinnati,Ohio
University of Colorado Boulder,Boulder,Colorado
University of Connecticut,Storrs,Connecticut
University of Delaware,Newark,Delaware
University of Florida,Gainesville,Florida
University of Georgia,Athens,Georgia
University of Hawaiʻi at Mānoa,Honolulu,Hawaii
University of Houston,Houston,Texas
University of Illinois at Chicago,Chicago,Illinois
University of Illinois at Urbana–Champaign,Champaign,Illinois
Yeshiva University,,New York
University of Iowa,Iowa City,Iowa
University of Kansas,Lawrence,Kansas
University of Kentucky,Lexington,Kentucky
University of Louisville,Louisville,Kentucky
"University of Maryland, College Park",College Park,Maryland
University of Massachusetts Amherst,Amherst,Massachusetts
University of Miami,Coral Gables,Florida
University of Michigan–Ann Arbor,Ann Arbor,Michigan
University of Minnesota–Twin Cities,Minneapolis,Minnesota
University of Missouri,Columbia,Missouri
University of Nebraska–Lincoln,Lincoln,Nebraska
University of New Mexico,Albuquerque,New Mexico
University of North Carolina at Chapel Hill,Chapel Hill,North Carolina
University of Notre Dame,Notre Dame,Indiana
University of Oklahoma,Norman,Oklahoma
University of Oregon,Eugene,Oregon
University of Pennsylvania,Philadelphia,Pennsylvania
University of Pittsburgh,Pittsburgh,Pennsylvania
University of Rochester,Rochester,New York
University of South Carolina,Columbia,South Carolina
University of South Florida,Tampa,Florida
University of Southern California,Los Angeles,California
University of Tennessee,Knoxville,Tennessee
University of Texas at Austin,Austin,Texas
University of Utah,Salt Lake City,Utah
University of Virginia,Charlottesville,Virginia
University of Washington,Seattle,Washington
University of Wisconsin–Madison,Madison,Wisconsin
Vanderbilt University,Nashville,Tennessee
Virginia Commonwealth University,Richmond,Virginia
Virginia Tech,Blacksburg,Virginia
Washington State University,Pullman,Washington
Washington University in St. Louis,Saint Louis,Missouri
Wayne State University,Detroit,Michigan
Yale University,New Haven,Connecticut
