, research_budget 
Johns Hopkins University ," 2,168,568 "
"University of Michigan, Ann Arbor"," 1,375,117 "
"University of Washington, Seattle"," 1,192,513 "
University of Wisconsin-Madison," 1,123,501 "
"University of California, San Diego"," 1,075,554 "
"University of California, San Francisco"," 1,042,841 "
Harvard University," 1,012,766 "
Duke University," 992,821 "
"University of North Carolina at Chapel Hill, The"," 973,007 "
"University of California, Los Angeles"," 966,659 "
Stanford University," 945,450 "
Massachusetts Institute of Technology," 900,524 "
Columbia University in the City of New York," 889,188 "
"University of Pittsburgh, Pittsburgh"," 872,736 "
"University of Minnesota, Minneapolis"," 858,378 "
Cornell University," 845,184 "
"Pennsylvania State University, The, University Park and Hershey Medical Center"," 837,880 "
University of Pennsylvania," 828,422 "
"Texas A&M University, College Station"," 820,015 "
"Ohio State University, The"," 793,373 "
Yale University," 788,784 "
University of Illinois at Urbana-Champaign," 743,487 "
Georgia Institute of Technology," 730,488 "
"University of California, Berkeley"," 727,002 "
"University of California, Davis"," 725,734 "
"University of Texas M. D.  Anderson Cancer Center, The"," 718,096 "
University of Florida," 695,063 "
Washington University in St. Louis," 684,847 "
University of Southern California," 645,636 "
Northwestern University," 639,781 "
"University of Texas at Austin, The"," 634,132 "
"University of Arizona, The"," 629,466 "
"Purdue University, West Lafayette"," 595,739 "
Emory University," 575,943 "
Vanderbilt University," 571,603 "
Michigan State University," 515,707 "
Baylor College of Medicine," 508,799 "
Virginia Polytechnic Institute and State University," 496,169 "
"University of Utah, The"," 494,058 "
"Rutgers, The State University of New Jersey, New Brunswick"," 493,320 "
"University of Maryland, College Park"," 491,998 "
New York University," 471,909 "
"University of South Florida, Tampa"," 459,409 "
"University of Alabama at Birmingham, The"," 443,590 "
"University of Texas Southwestern Medical Center at Dallas, The"," 440,620 "
University of Cincinnati," 438,642 "
University of Iowa," 435,377 "
University of Maryland Baltimore," 429,315 "
Mount Sinai School of Medicine," 428,654 "
Case Western Reserve University," 425,788 "
North Carolina State University," 417,468 "
University of Colorado Denver and Anschutz Medical Campus," 409,443 "
Arizona State University," 405,154 "
"University of Chicago, The"," 402,621 "
"Scripps Research Institute, The"," 399,899 "
University of Rochester," 389,355 "
State University of New York at Buffalo," 387,863 "
University of Colorado Boulder," 385,849 "
University of Virginia," 385,828 "
College of Nanoscale Science and Engineering of the University at Albany SUNY," 374,174 "
Boston University," 368,281 "
University of Illinois at Chicago," 367,848 "
Brown University," 361,010 "
University of Georgia," 350,225 "
"University of California, Irvine"," 347,773 "
California Institute of Technology," 347,105 "
University of Miami," 344,757 "
Washington State University," 341,082 "
University of Kentucky," 339,764 "
"Indiana University-Purdue University, Indianapolis, IUPUI"," 332,760 "
University of Hawaii at Manoa," 326,750 "
Colorado State University," 313,238 "
Oregon Health & Science University," 308,767 "
University of Kansas," 298,498 "
"Rockefeller University, The"," 298,474 "
"Louisiana State University, Baton Rouge"," 283,400 "
Carnegie Mellon University," 271,277 "
Yeshiva University," 271,166 "
Princeton University," 269,908 "
Iowa State University," 266,596 "
University of Nebraska-Lincoln," 266,506 "
"University of Oklahoma, The"," 258,076 "
Florida State University," 250,877 "
University of Massachusetts Medical School," 245,923 "
Medical University of South Carolina," 245,451 "
University of Connecticut," 242,251 "
"University of California, Santa Barbara"," 236,497 "
"University of Missouri, Columbia"," 236,423 "
"University of Texas Health Science Center at Houston, The"," 233,256 "
Oregon State University," 232,677 "
"University of New Mexico, The"," 227,703 "
"State University of New York at Stony Brook, Stony Brook"," 225,712 "
Wayne State University," 224,331 "
Temple University," 224,087 "
University of Medicine and Dentistry of New Jersey," 214,299 "
Mississippi State University," 206,424 "
"University of South Carolina, Columbia"," 203,365 "
"George Washington University, The"," 202,428 "
Dartmouth College," 201,591 "
Medical College of Wisconsin," 201,237 "
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
